id	ref	class	di_events	dir	read_len	aln_len	ref_start	ref_end	ref_len	score	max_score	num_match	num_snp	num_ins	num_del	num_mask	shared_7mers	med_q	mean_q
SRR29165088.271	P_NC_007360.1	vRNA	0	F	1575	1565	1	1565	1565	5939.00	7875.00	1367	183	5	15	20	671	25.00	23.53
SRR29165088.277	_NC_002020.1	vRNA	0	R	907	890	1	890	890	3177.00	4535.00	773	93	22	24	19	392	20.00	18.65
SRR29165088.281	_NC_002020.1	vRNA	0	R	900	888	1	888	890	3453.00	4500.00	783	86	0	19	31	418	24.00	23.01
SRR29165088.284	_NC_007363.1	vRNA	0	F	1040	1027	1	1027	1027	4312.00	5200.00	945	70	4	12	21	589	22.00	21.57
SRR29165088.289	_NC_002020.1	vRNA	0	R	901	890	1	890	890	3561.00	4505.00	796	84	1	10	20	438	23.00	21.76
SRR29165088.295	_NC_007363.1	vRNA	0	F	1043	1027	1	1027	1027	3937.00	5215.00	915	82	19	30	27	527	19.00	19.00
SRR29165088.306	_NC_007363.1	vRNA	0	R	1043	1026	1	1026	1027	4298.00	5215.00	940	77	4	9	22	580	23.00	21.42
SRR29165088.314	_NC_007363.1	vRNA	0	F	1053	1026	2	1027	1027	4197.00	5265.00	939	74	18	13	22	575	24.00	22.44
SRR29165088.323	_NC_002020.1	vRNA	0	F	914	890	1	890	890	3554.00	4570.00	803	79	11	8	21	446	24.00	22.63
SRR29165088.325	_NC_007363.1	vRNA	0	F	1056	1027	1	1027	1027	4177.00	5280.00	936	80	19	11	21	569	21.00	20.92
SRR29165088.338	_NC_007363.1	vRNA	0	F	606	594	434	1027	1027	2398.00	3030.00	541	46	8	7	11	317	22.00	20.29
SRR29165088.340	_NC_002020.1	vRNA	0	F	910	890	1	890	890	3578.00	4550.00	801	84	5	5	20	454	27.00	25.40
SRR29165088.341	_NC_002020.1	vRNA	0	R	906	890	1	890	890	3548.00	4530.00	797	83	5	10	21	433	26.00	24.46
SRR29165088.342	_NC_004906.1	vRNA	0	R	901	890	1	890	890	3314.00	4505.00	780	89	11	21	21	400	24.00	22.38
SRR29165088.345	_NC_007363.1	vRNA	0	F	1044	1025	3	1027	1027	4153.00	5220.00	936	73	12	16	23	547	23.00	21.09
SRR29165088.346	_NC_002020.1	vRNA	0	R	907	890	1	890	890	3627.00	4535.00	802	83	1	5	21	452	25.00	24.34
SRR29165088.351	_NC_002020.1	vRNA	0	R	899	890	1	890	890	3554.00	4495.00	797	78	5	15	19	436	24.00	22.46
SRR29165088.353	_NC_007363.1	vRNA	0	F	1049	1027	1	1027	1027	4324.00	5245.00	948	70	10	9	21	599	24.00	22.74
SRR29165088.356	_NC_007363.1	vRNA	0	F	1041	1027	1	1027	1027	4211.00	5205.00	940	71	9	16	21	561	22.00	20.54
SRR29165088.382	P_NC_007360.1	vRNA	0	F	1571	1564	1	1564	1565	5580.00	7855.00	1340	191	17	33	23	645	20.00	19.63
SRR29165088.399	P_NC_007360.1	vRNA	0	R	1585	1565	1	1565	1565	5880.00	7925.00	1368	181	13	16	23	697	22.00	20.82
SRR29165088.400	_NC_007363.1	vRNA	0	R	1039	1027	1	1027	1027	4209.00	5195.00	935	78	5	14	21	553	23.00	20.74
SRR29165088.406	_NC_007363.1	vRNA	0	F	1050	1027	1	1027	1027	4243.00	5250.00	945	68	16	14	21	565	23.00	21.88
SRR29165088.408	_NC_007363.1	vRNA	0	F	1056	1027	1	1027	1027	4413.00	5280.00	958	66	11	3	21	621	24.00	23.74
SRR29165088.411	_NC_007363.1	vRNA	0	R	1042	1026	1	1026	1027	4214.00	5210.00	934	80	7	12	21	568	24.00	22.37
SRR29165088.424	_NC_002016.1	vRNA	0	F	472	497	1	497	1027	1455.00	2360.00	390	56	13	51	13	224	22.00	22.15
SRR29165088.426	_NC_002020.1	vRNA	0	F	888	890	1	890	890	3005.00	4440.00	752	98	17	40	21	355	15.00	15.86
SRR29165088.432	_NC_002020.1	vRNA	0	R	905	890	1	890	890	3377.00	4525.00	781	95	8	14	21	396	25.00	22.73
SRR29165088.433	_NC_007363.1	vRNA	0	F	1044	1027	1	1027	1027	4044.00	5220.00	924	80	17	23	23	543	23.00	20.98
SRR29165088.434	_NC_007363.1	vRNA	0	R	1046	1022	1	1022	1027	4382.00	5230.00	946	72	2	4	26	619	26.00	24.35
SRR29165088.459	_NC_007363.1	vRNA	0	R	1051	1027	1	1027	1027	4416.00	5255.00	954	71	5	2	21	607	23.00	22.19
SRR29165088.473	_NC_007363.1	vRNA	0	F	1049	1027	1	1027	1027	4250.00	5245.00	941	72	9	14	27	590	24.00	22.50
SRR29165088.476	_NC_007363.1	vRNA	0	R	1045	1027	1	1027	1027	3905.00	5225.00	917	84	21	26	23	517	22.00	20.60
SRR29165088.478	A_NC_007362.1	vRNA	0	F	1791	1760	1	1760	1760	6722.00	8955.00	1543	194	14	23	40	864	26.00	24.21
SRR29165088.480	_NC_002020.1	vRNA	0	R	911	890	1	890	890	3562.00	4555.00	800	84	6	6	21	436	25.00	24.29
SRR29165088.497	_NC_007363.1	vRNA	0	F	1041	1027	1	1027	1027	4263.00	5205.00	944	68	8	15	21	595	24.00	22.47
SRR29165088.515	_NC_004906.1	vRNA	0	F	295	311	1	311	890	971.00	1475.00	248	31	5	32	11	156	25.00	23.93
SRR29165088.521	_NC_007363.1	vRNA	0	R	1046	1027	1	1027	1027	4360.00	5230.00	950	69	7	8	20	618	25.00	23.32
SRR29165088.529	A_NC_007362.1	vRNA	0	F	1797	1757	4	1760	1760	6033.00	8985.00	1493	224	37	40	43	725	19.00	18.21
SRR29165088.531	_NC_002020.1	vRNA	0	R	889	890	1	890	890	3170.00	4445.00	770	86	14	34	19	369	19.00	18.48
SRR29165088.537	A_NC_007362.1	vRNA	0	R	1789	1760	1	1760	1760	6800.00	8945.00	1551	192	8	17	38	863	25.00	24.57
SRR29165088.547	_NC_007363.1	vRNA	0	F	1013	1027	1	1027	1027	3376.00	5065.00	867	102	25	58	19	407	13.00	15.49
SRR29165088.551	P_NC_007360.1	vRNA	0	F	1582	1565	1	1565	1565	5666.00	7910.00	1350	185	26	30	21	663	23.00	22.17
SRR29165088.556	P_NC_007360.1	vRNA	0	F	1577	1565	1	1565	1565	5807.00	7885.00	1357	190	11	18	19	659	24.00	22.71
SRR29165088.564	A_NC_007359.1	vRNA	0	F	2237	2233	1	2233	2233	9056.00	11185.00	2025	173	18	35	21	1290	24.00	22.82
SRR29165088.566	_NC_002020.1	vRNA	0	F	896	890	1	890	890	3393.00	4480.00	784	94	4	12	14	415	20.00	19.53
SRR29165088.584	_NC_004906.1	vRNA	0	F	911	890	1	890	890	3448.00	4555.00	791	91	9	8	20	431	24.00	22.64
SRR29165088.589	P_NC_007360.1	vRNA	0	R	1576	1565	1	1565	1565	5911.00	7880.00	1367	180	6	18	23	660	24.00	22.78
SRR29165088.592	A_NC_007359.1	vRNA	0	F	2230	2233	1	2233	2233	8502.00	11150.00	1984	184	41	65	21	1212	20.00	18.79
SRR29165088.596	_NC_007363.1	vRNA	0	R	1033	1027	1	1027	1027	4182.00	5165.00	930	77	5	20	21	581	24.00	22.25
SRR29165088.602	_NC_007363.1	vRNA	0	R	1052	1027	1	1027	1027	4219.00	5260.00	941	74	16	12	21	584	24.00	22.91
SRR29165088.603	_NC_007363.1	vRNA	0	R	1045	1027	1	1027	1027	4451.00	5225.00	956	67	3	4	19	628	24.00	22.53
SRR29165088.604	_NC_002020.1	vRNA	0	F	910	890	1	890	890	3347.00	4550.00	786	89	14	15	21	404	21.00	20.17
SRR29165088.610	_NC_007363.1	vRNA	0	R	1037	1027	1	1027	1027	3966.00	5185.00	917	84	14	26	22	489	19.00	18.41
SRR29165088.616	_NC_002020.1	vRNA	0	R	917	890	1	890	890	3553.00	4585.00	801	80	15	9	21	449	24.00	23.00
SRR29165088.629	_NC_007363.1	vRNA	0	F	1060	1027	1	1027	1027	4201.00	5300.00	938	82	19	7	21	566	24.00	23.15
SRR29165088.633	_NC_007363.1	vRNA	0	F	1039	1027	1	1027	1027	3577.00	5195.00	881	111	25	35	22	438	16.00	16.79
SRR29165088.636	_NC_007363.1	vRNA	0	R	1050	1027	1	1027	1027	4371.00	5250.00	950	71	8	6	21	611	25.00	23.91
SRR29165088.645	_NC_002020.1	vRNA	0	F	907	890	1	890	890	3288.00	4535.00	782	90	19	18	16	399	20.00	20.01
SRR29165088.646	_NC_007363.1	vRNA	0	F	1027	1026	2	1027	1027	3673.00	5135.00	888	94	23	44	22	483	18.00	17.03
SRR29165088.668	_NC_007363.1	vRNA	0	R	1043	1027	1	1027	1027	4117.00	5215.00	929	78	16	20	20	536	23.00	21.21
SRR29165088.677	_NC_002020.1	vRNA	0	R	905	890	1	890	890	3498.00	4525.00	794	84	7	12	20	420	24.00	22.88
SRR29165088.679	_NC_007363.1	vRNA	0	F	1042	1023	1	1023	1027	3910.00	5210.00	912	82	23	29	25	517	21.00	20.16
SRR29165088.683	_NC_007363.1	vRNA	0	R	1040	1023	5	1027	1027	4239.00	5200.00	936	74	6	13	24	581	23.00	21.81
SRR29165088.684	_NC_007363.1	vRNA	0	R	1047	1027	1	1027	1027	4191.00	5235.00	937	76	14	14	20	581	24.00	22.62
SRR29165088.690	_NC_007363.1	vRNA	0	F	1051	1027	1	1027	1027	4130.00	5255.00	935	80	15	12	21	544	22.00	20.81
SRR29165088.691	_NC_007363.1	vRNA	0	R	1035	1027	1	1027	1027	4268.00	5175.00	940	68	6	19	21	594	24.00	22.29
SRR29165088.694	_NC_007363.1	vRNA	0	F	1051	1027	1	1027	1027	4208.00	5255.00	939	78	12	10	22	571	22.00	19.71
SRR29165088.700	_NC_007363.1	vRNA	0	F	1029	1024	4	1027	1027	3657.00	5145.00	888	97	23	39	21	473	16.00	17.09
SRR29165088.701	_NC_004906.1	vRNA	0	F	904	890	1	890	890	3420.00	4520.00	786	87	10	17	21	432	25.00	24.18
SRR29165088.703	_NC_007363.1	vRNA	0	R	1050	1027	1	1027	1027	4366.00	5250.00	950	73	7	4	20	612	25.00	23.87
SRR29165088.708	_NC_007363.1	vRNA	0	R	1045	1027	1	1027	1027	3963.00	5225.00	916	91	17	20	21	497	22.00	20.26
SRR29165088.709	_NC_007363.1	vRNA	0	R	1052	1027	1	1027	1027	4240.00	5260.00	938	78	10	11	26	592	23.00	21.44
SRR29165088.711	A_NC_007359.1	vRNA	0	F	1169	1309	1	1309	2233	2950.00	5845.00	911	185	58	213	15	472	16.00	17.92
SRR29165088.712	_NC_007363.1	vRNA	0	R	1048	1027	1	1027	1027	4305.00	5240.00	945	74	8	8	21	594	24.00	22.75
SRR29165088.713	_NC_007363.1	vRNA	0	F	1044	1027	1	1027	1027	4295.00	5220.00	943	74	6	10	21	585	25.00	24.12
SRR29165088.719	_NC_007363.1	vRNA	0	R	1050	1027	1	1027	1027	4378.00	5250.00	951	71	7	5	21	615	25.00	23.86
SRR29165088.720	_NC_007363.1	vRNA	0	R	1044	1027	1	1027	1027	4114.00	5220.00	928	76	19	23	21	570	24.00	22.07
SRR29165088.730	_NC_007363.1	vRNA	0	F	1026	1027	1	1027	1027	3837.00	5130.00	908	88	14	31	16	485	15.00	16.05
SRR29165088.740	_NC_002020.1	vRNA	0	R	892	887	4	890	890	3190.00	4460.00	766	91	12	30	23	383	18.00	18.17
SRR29165088.741	_NC_007363.1	vRNA	0	R	1047	1027	1	1027	1027	4406.00	5235.00	953	66	6	8	22	614	24.00	23.01
SRR29165088.747	_NC_007363.1	vRNA	0	F	1042	1027	1	1027	1027	4238.00	5210.00	938	77	6	12	21	578	24.00	22.52
SRR29165088.748	A_NC_007362.1	vRNA	0	R	1448	1445	1	1445	1760	5145.00	7240.00	1238	172	16	35	22	655	21.00	20.43
SRR29165088.751	_NC_007363.1	vRNA	0	F	1033	1027	1	1027	1027	4236.00	5165.00	936	74	5	17	18	585	24.00	22.19
SRR29165088.761	A_NC_007359.1	vRNA	0	R	2220	2233	1	2233	2233	8830.00	11100.00	2003	177	19	53	21	1257	24.00	22.24
SRR29165088.763	_NC_007363.1	vRNA	0	R	1047	1027	1	1027	1027	4218.00	5235.00	936	82	8	9	21	590	24.00	22.40
SRR29165088.766	_NC_004906.1	vRNA	0	F	912	890	1	890	890	3337.00	4560.00	784	92	12	14	24	414	20.50	19.11
SRR29165088.780	_NC_007363.1	vRNA	0	R	1039	1027	1	1027	1027	4202.00	5195.00	933	79	6	15	21	557	24.00	22.57
SRR29165088.791	_NC_007363.1	vRNA	0	R	1036	1027	1	1027	1027	4144.00	5180.00	927	84	4	16	21	578	24.00	22.68
SRR29165088.797	_NC_007363.1	vRNA	0	R	1050	1027	1	1027	1027	4415.00	5250.00	951	75	3	1	21	619	26.00	25.28
SRR29165088.803	_NC_002020.1	vRNA	0	F	918	890	1	890	890	3503.00	4590.00	800	83	14	7	21	425	23.00	21.47
SRR29165088.804	_NC_007363.1	vRNA	0	F	1054	1027	1	1027	1027	4311.00	5270.00	947	74	14	6	19	597	22.00	21.25
SRR29165088.805	_NC_004906.1	vRNA	0	F	901	890	1	890	890	3449.00	4505.00	785	93	2	12	21	438	25.00	23.75
SRR29165088.810	_NC_007363.1	vRNA	0	F	1051	1027	1	1027	1027	4245.00	5255.00	943	73	14	11	21	592	22.00	20.85
SRR29165088.814	_NC_007363.1	vRNA	0	R	1048	1027	1	1027	1027	4400.00	5240.00	951	70	6	6	21	623	26.00	25.02
SRR29165088.815	P_NC_007360.1	vRNA	0	F	1583	1565	1	1565	1565	5866.00	7915.00	1365	182	15	18	21	686	23.00	21.57
SRR29165088.825	_NC_007363.1	vRNA	0	R	1034	1027	1	1027	1027	4221.00	5170.00	936	73	5	18	20	576	24.00	22.22
SRR29165088.828	_NC_007363.1	vRNA	0	R	1054	1027	1	1027	1027	4318.00	5270.00	947	76	10	4	21	595	24.00	22.22
SRR29165088.829	A_NC_007362.1	vRNA	0	R	1788	1760	1	1760	1760	6667.00	8940.00	1540	199	9	21	40	851	24.00	22.82
SRR29165088.831	_NC_002020.1	vRNA	0	F	907	890	1	890	890	3541.00	4535.00	796	87	3	7	21	453	25.00	23.48
SRR29165088.834	_NC_007363.1	vRNA	0	F	1015	1027	1	1027	1027	3615.00	5075.00	882	99	20	46	14	445	17.00	17.10
SRR29165088.843	A_NC_007359.1	vRNA	0	R	2245	2233	1	2233	2233	9084.00	11225.00	2028	179	17	26	21	1251	25.00	23.80
SRR29165088.845	_NC_007363.1	vRNA	0	F	1043	1027	1	1027	1027	4091.00	5215.00	927	80	15	20	21	552	24.00	21.92
SRR29165088.854	_NC_002020.1	vRNA	0	R	898	878	1	878	890	3401.00	4490.00	776	88	5	14	29	393	26.00	24.63
SRR29165088.856	_NC_004906.1	vRNA	0	R	901	890	1	890	890	3421.00	4505.00	786	88	6	16	21	420	25.00	24.22
SRR29165088.863	_NC_007363.1	vRNA	0	R	1040	1027	1	1027	1027	4301.00	5200.00	942	74	3	11	21	573	25.00	24.00
SRR29165088.879	_NC_002020.1	vRNA	0	F	918	890	1	890	890	3242.00	4590.00	779	90	29	21	20	385	20.00	18.72
SRR29165088.886	_NC_007363.1	vRNA	0	F	1040	1027	1	1027	1027	4222.00	5200.00	933	73	13	21	21	598	22.00	21.32
SRR29165088.887	_NC_002020.1	vRNA	0	F	913	890	1	890	890	3469.00	4565.00	796	84	12	10	21	425	24.00	23.09
SRR29165088.893	P_NC_007360.1	vRNA	0	F	1582	1565	1	1565	1565	5937.00	7910.00	1370	178	13	17	21	674	24.00	23.28
SRR29165088.896	_NC_007363.1	vRNA	0	F	1051	1027	1	1027	1027	4353.00	5255.00	950	71	8	6	22	611	25.00	23.34
SRR29165088.898	_NC_007363.1	vRNA	0	R	1024	1021	7	1027	1027	4060.00	5120.00	917	75	7	29	25	533	21.00	19.99
SRR29165088.904	_NC_007363.1	vRNA	0	R	1049	1027	1	1027	1027	4224.00	5245.00	940	78	11	9	20	568	25.00	23.25
SRR29165088.905	_NC_007363.1	vRNA	0	F	1051	1027	1	1027	1027	4229.00	5255.00	940	75	15	12	21	576	24.00	22.70
SRR29165088.906	P_NC_007360.1	vRNA	0	R	1579	1565	1	1565	1565	5669.00	7895.00	1350	185	23	30	21	642	21.00	20.40
SRR29165088.913	_NC_007363.1	vRNA	0	R	1032	1027	1	1027	1027	4011.00	5160.00	915	88	8	24	21	537	23.00	20.72
SRR29165088.923	_NC_007363.1	vRNA	0	R	1009	1027	1	1027	1027	3650.00	5045.00	884	90	15	53	20	428	18.00	17.67
SRR29165088.927	_NC_007363.1	vRNA	0	R	1048	1027	1	1027	1027	4323.00	5240.00	949	69	11	9	19	582	24.00	22.38
SRR29165088.930	_NC_007363.1	vRNA	0	F	1049	1027	1	1027	1027	4370.00	5245.00	951	71	6	5	21	607	24.00	22.91
SRR29165088.949	_NC_007363.1	vRNA	0	R	1040	1026	1	1026	1027	4290.00	5200.00	942	71	6	13	21	612	24.00	23.03
SRR29165088.956	_NC_007363.1	vRNA	0	F	1050	1027	1	1027	1027	4400.00	5250.00	950	74	6	3	20	610	25.00	24.12
SRR29165088.957	_NC_002020.1	vRNA	0	R	907	890	1	890	890	3336.00	4535.00	780	93	13	17	21	409	23.00	21.62
SRR29165088.963	_NC_002020.1	vRNA	0	F	902	890	1	890	890	3442.00	4510.00	787	86	6	17	23	423	23.00	21.81
SRR29165088.967	_NC_007363.1	vRNA	0	R	1035	1027	1	1027	1027	4298.00	5175.00	940	71	3	16	21	610	25.00	23.08
SRR29165088.976	_NC_007363.1	vRNA	0	R	1039	1027	1	1027	1027	4136.00	5195.00	932	77	9	18	21	588	22.00	20.73
SRR29165088.995	_NC_007363.1	vRNA	0	F	1007	1027	1	1027	1027	3903.00	5035.00	904	75	8	48	20	511	19.00	18.98
SRR29165088.998	_NC_007363.1	vRNA	0	R	1039	1027	1	1027	1027	4115.00	5195.00	931	75	12	21	21	549	22.00	21.27
SRR29165088.1002	_NC_007363.1	vRNA	0	R	610	594	434	1027	1027	2335.00	3050.00	542	43	14	9	11	318	21.00	19.57
SRR29165088.1012	_NC_007363.1	vRNA	0	F	1052	1027	1	1027	1027	4251.00	5260.00	941	76	14	10	21	578	23.00	21.50
SRR29165088.1014	_NC_007363.1	vRNA	0	R	1043	1027	1	1027	1027	4312.00	5215.00	943	75	4	9	21	565	24.00	22.96
SRR29165088.1018	_NC_007363.1	vRNA	0	R	1048	1027	1	1027	1027	4393.00	5240.00	954	66	7	7	21	620	26.00	24.71
SRR29165088.1025	_NC_007363.1	vRNA	0	F	1044	1027	1	1027	1027	4300.00	5220.00	942	77	4	8	21	578	25.00	23.41
SRR29165088.1039	_NC_007363.1	vRNA	0	R	1041	1027	1	1027	1027	4264.00	5205.00	941	75	4	11	21	572	24.00	22.15
SRR29165088.1048	_NC_007363.1	vRNA	0	F	1041	1027	1	1027	1027	4325.00	5205.00	947	69	6	11	19	597	25.00	23.28
SRR29165088.1049	_NC_007363.1	vRNA	0	R	1044	1026	1	1026	1027	4125.00	5220.00	934	67	18	25	25	571	21.00	19.44
SRR29165088.1050	_NC_002020.1	vRNA	0	F	915	890	1	890	890	3583.00	4575.00	803	82	9	5	21	454	25.00	23.91
SRR29165088.1055	_NC_002020.1	vRNA	0	R	900	890	1	890	890	3483.00	4500.00	792	83	4	15	21	426	25.00	23.85
SRR29165088.1073	_NC_007363.1	vRNA	0	R	1040	1027	1	1027	1027	4138.00	5200.00	929	83	7	15	21	542	22.00	20.51
SRR29165088.1077	_NC_002020.1	vRNA	0	R	902	890	1	890	890	3579.00	4510.00	796	84	1	10	21	460	26.00	25.14
SRR29165088.1078	_NC_007363.1	vRNA	0	F	1045	1027	1	1027	1027	4396.00	5225.00	952	68	4	7	21	604	25.00	24.13
SRR29165088.1089	_NC_007363.1	vRNA	0	F	1039	1027	1	1027	1027	4271.00	5195.00	938	71	9	18	21	584	24.00	23.03
SRR29165088.1090	_NC_004906.1	vRNA	0	R	908	890	1	890	890	3460.00	4540.00	792	86	9	12	21	449	25.00	24.11
SRR29165088.1092	_NC_002020.1	vRNA	0	R	904	890	1	890	890	3516.00	4520.00	795	83	7	12	19	427	22.00	21.62
SRR29165088.1093	_NC_007363.1	vRNA	0	F	1042	1027	1	1027	1027	4340.00	5210.00	945	73	3	9	21	587	25.00	23.76
SRR29165088.1099	_NC_007363.1	vRNA	0	R	1046	1027	1	1027	1027	3842.00	5230.00	905	100	18	22	23	478	21.00	19.89
SRR29165088.1105	_NC_007363.1	vRNA	0	F	1049	1027	1	1027	1027	4275.00	5245.00	942	78	8	7	21	596	24.00	22.90
SRR29165088.1121	A_NC_007359.1	vRNA	0	F	1562	1551	1	1551	2233	6230.00	7810.00	1401	134	16	16	11	902	25.00	23.23
SRR29165088.1124	_NC_007363.1	vRNA	0	F	1005	1027	1	1027	1027	3544.00	5025.00	875	83	25	69	22	455	16.00	16.49
SRR29165088.1131	_NC_002020.1	vRNA	0	R	907	890	1	890	890	3583.00	4535.00	799	81	6	10	21	445	25.00	23.61
SRR29165088.1132	_NC_007363.1	vRNA	0	R	1035	1027	1	1027	1027	4316.00	5175.00	942	69	3	16	21	595	25.00	23.44
SRR29165088.1134	_NC_002020.1	vRNA	0	F	905	889	2	890	890	3443.00	4525.00	792	79	12	18	22	434	25.00	22.75
SRR29165088.1138	_NC_007363.1	vRNA	0	R	1042	1027	1	1027	1027	4242.00	5210.00	937	76	8	14	21	555	24.00	23.06
SRR29165088.1143	A_NC_007359.1	vRNA	0	R	2136	2134	1	2134	2233	8757.00	10680.00	1938	173	11	23	14	1237	25.00	23.68
SRR29165088.1146	_NC_007363.1	vRNA	0	R	1054	1027	1	1027	1027	4249.00	5270.00	946	71	16	10	21	579	24.00	22.31
SRR29165088.1148	_NC_002016.1	vRNA	0	R	1021	1027	1	1027	1027	3250.00	5105.00	844	129	31	54	17	422	15.00	16.57
SRR29165088.1153	_NC_004906.1	vRNA	0	R	902	890	1	890	890	3273.00	4510.00	772	103	7	15	20	383	19.00	18.70
